0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
53.16851,2.7804196,0.0,0.0,0.0,0.0,17.953423,19.104513,20.820889,21.296946,21.34125,20.249271,21.612827,21.267859,22.470465,21.843334,22.790424,24.454998,23.59855,24.194218,21.815987,25.59837,23.364422,22.442932,21.568727,21.311024,22.787844,23.765808,21.151375,23.292933,23.908394,23.749508,0.0,24.319786,25.48609,24.82503,24.273499,23.887407,24.0098,24.53268,24.297998,23.903107,23.708277,25.357443,22.583017,24.00096,24.143887,25.415367,25.132902,26.965885,25.290077,25.878445,23.57258,25.374409,24.884241,23.87856,25.590828,23.871338,23.062252,0.0,0.0,0.0,0.0,0.0
88.930725,4.248951,0.0,0.0,0.0,0.0,20.686827,20.95267,23.601221,23.72712,23.286484,23.038662,23.154154,23.161697,24.090754,23.762554,25.680796,26.382114,25.854786,25.87656,23.872486,26.041489,25.56877,24.847654,24.504091,24.748486,24.282879,25.35835,22.505083,24.607769,25.204268,24.94483,0.0,24.665346,25.655289,24.874413,24.354284,23.311813,24.45705,24.489092,23.68532,23.4569,23.805721,25.32745,22.137922,23.375553,23.79693,24.080282,24.405008,25.407688,23.480644,24.493315,22.824463,23.907324,24.054012,22.72554,24.134022,22.550648,22.024212,0.0,0.0,0.0,0.0,0.0
111.64016,5.74662,0.0,0.0,0.0,0.0,22.586565,22.288595,25.472029,25.34044,24.662573,24.761341,24.38015,24.391195,25.243107,25.090246,27.332066,27.561327,27.09674,26.90036,25.01032,26.896221,26.495607,25.73562,25.788849,25.944187,24.874847,26.097958,23.06912,25.167147,25.657858,25.249254,0.0,24.535692,25.419548,24.49345,23.991333,22.622614,24.083874,23.990036,22.884293,22.732666,23.371788,24.802708,21.499712,22.551836,23.041904,23.107637,23.654772,24.313078,22.182547,23.433239,22.19503,22.838543,23.320166,21.922115,23.199074,21.696236,21.313496,0.0,0.0,0.0,0.0,0.0
124.04335,7.081119,0.0,0.0,0.0,0.0,23.690765,23.0836,26.480808,26.170502,25.44649,25.530794,25.209225,24.986591,25.89343,25.827398,27.926403,28.05031,27.465338,27.295519,25.352158,27.786037,26.429293,25.508614,25.795235,25.560347,24.75061,26.113438,23.00338,25.095627,25.431871,24.863262,0.0,24.019806,24.860123,23.775293,23.29702,21.832355,23.127981,23.16267,21.960413,21.814293,22.542742,23.917559,20.719105,21.61918,22.026506,22.386864,22.879671,23.54478,21.275251,22.614658,21.635992,22.0705,22.65202,21.378567,22.628574,21.174911,20.839973,0.0,0.0,0.0,0.0,0.0
128.88684,8.06014,0.0,0.0,0.0,0.0,24.037548,23.308983,26.675049,26.25089,25.615211,25.4605,25.559786,24.97812,26.007627,25.975002,27.645975,27.906742,27.1015,27.091934,25.020658,28.334414,25.65418,24.568417,24.895477,24.259192,24.097029,25.533598,22.46775,24.517765,24.689014,23.987339,0.0,23.206663,24.058264,22.81309,22.383722,20.953588,21.827085,22.134151,20.97917,20.785671,21.454842,22.806341,19.846825,20.666964,20.898432,21.807394,22.077183,22.965525,20.638224,21.95401,21.099052,21.50563,22.018888,21.005175,22.265121,20.853481,20.513514,0.0,0.0,0.0,0.0,0.0
127.01928,7.35,0.0,0.0,0.0,0.0,23.066391,22.22113,25.397028,24.881147,24.383883,23.977081,24.817251,23.649878,24.79847,24.85893,26.004242,26.454012,25.576649,25.455027,23.38601,26.201315,24.26158,23.562246,23.086313,23.65817,22.658955,23.66251,21.09329,22.876804,22.99672,22.161184,0.0,21.348764,22.495255,20.829576,20.907366,19.12965,19.864866,20.510422,19.58844,19.137917,19.540567,21.005764,18.243757,19.563204,19.52161,20.546286,20.539766,21.788885,19.563398,20.815495,19.989788,20.7395,20.851694,20.250145,21.363737,20.118092,19.939959,0.0,0.0,0.0,0.0,0.0
136.98611,7.15,0.0,0.0,0.0,0.0,21.899822,21.10204,24.088713,23.373978,23.152225,22.312572,23.808062,22.626324,23.742407,23.885162,24.76166,25.308386,24.211885,24.007578,22.2351,23.980331,23.277681,22.966167,21.86629,23.58977,21.970005,22.63957,20.587221,21.902658,21.91219,21.443838,0.0,20.653324,21.711561,20.230272,20.067486,18.531149,19.172014,19.937273,18.86499,18.408276,18.62989,20.108473,17.578737,19.053013,18.969723,19.929152,19.878822,20.99769,19.118408,20.306154,19.268885,20.053835,20.218193,19.997723,20.768234,19.733711,19.488705,0.0,0.0,0.0,0.0,0.0
129.27737,5.5875,0.0,0.0,0.0,0.0,18.86827,18.179262,20.61336,20.549738,20.039124,19.270308,20.595713,19.630484,20.564028,20.894058,21.50288,22.32695,21.815014,21.247335,19.460703,21.0033,20.844484,21.353971,19.63879,22.122087,19.921225,20.112268,18.967945,19.799501,19.906872,19.738052,0.0,19.091171,20.285416,18.719072,18.952381,17.17304,18.012476,18.723152,17.75355,17.485096,17.581896,18.98638,16.71979,18.311695,18.05105,18.834589,18.817926,19.997314,18.265095,19.085228,18.217438,18.995295,19.149109,19.492073,19.8564,18.64955,18.61686,0.0,0.0,0.0,0.0,0.0
130.52563,4.825,0.0,0.0,0.0,0.0,17.617489,17.189058,19.189203,18.461405,18.697231,18.359678,19.191917,18.705835,19.182064,19.537052,20.184893,21.25476,19.742193,19.86452,18.721184,19.265776,19.922148,20.538181,19.026585,21.456627,19.09106,18.857351,18.36899,18.899605,18.946444,18.905432,0.0,18.15789,19.416447,17.907557,17.981318,16.50559,17.31841,17.544056,16.959204,16.451004,16.86172,18.220003,16.15721,17.519587,17.45812,17.975264,17.761194,18.95137,17.639568,18.352886,17.401234,18.260172,18.446367,18.670628,18.91224,18.032784,18.011154,0.0,0.0,0.0,0.0,0.0
132.47461,4.3125,0.0,0.0,0.0,0.0,17.206802,17.100307,18.31943,17.315327,17.900394,18.235851,18.53906,18.59387,18.31552,18.525372,19.695892,20.344307,18.52531,19.086731,18.32407,18.124552,19.597614,19.658432,19.016478,20.469643,18.653368,18.072994,18.103756,18.134703,18.213308,18.558083,0.0,17.685986,18.462603,17.591629,16.974548,16.045996,17.025784,16.858538,16.436956,16.057425,16.64602,17.487772,15.508381,16.606392,16.891676,16.837515,17.059633,17.745302,17.258192,17.5421,16.834278,17.73843,17.400097,17.871922,17.903378,17.284845,17.374117,0.0,0.0,0.0,0.0,0.0
