0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
60.013844,1.8041958,0.0,0.0,0.0,0.0,19.056152,20.520803,20.546396,21.56036,19.12708,19.14286,20.231375,18.280521,20.976843,18.771074,21.784397,21.49008,22.042448,21.753508,19.838652,22.315113,20.76394,18.525503,18.27804,17.763561,18.260933,18.814241,14.550301,18.924356,18.832972,18.222048,0.0,18.251806,17.196772,18.024836,17.53995,17.232178,19.164785,19.092543,18.10604,19.912392,17.59332,21.711906,20.15964,22.20485,23.238039,21.821236,26.028929,26.15986,24.962772,24.595226,23.842163,26.594833,28.879847,25.300175,30.819742,26.854143,30.489145,0.0,0.0,0.0,0.0,0.0
90.54823,5.156177,0.0,0.0,0.0,0.0,19.89105,18.622316,21.30759,22.380987,20.314255,18.598951,19.73136,18.771671,21.93463,20.194351,23.02011,22.345266,23.388275,22.526634,20.688002,23.375835,21.789907,20.231575,19.148514,19.594864,18.991089,20.343477,16.42466,20.347044,20.784128,19.43014,0.0,19.122639,20.305607,19.674387,18.990705,17.81328,18.893715,19.566961,17.9272,19.49615,16.9194,21.00955,18.905827,20.545351,20.645828,20.363663,23.588032,24.361456,21.468851,23.02228,20.772997,23.472507,24.686924,23.78348,25.594341,23.948515,24.590717,0.0,0.0,0.0,0.0,0.0
104.76842,7.0268064,0.0,0.0,0.0,0.0,20.280365,18.061958,21.676613,22.851984,20.9723,18.579529,19.87113,19.023232,22.291138,20.798145,23.597313,22.836788,24.292603,22.993965,20.951485,23.947636,22.185305,21.025467,19.590874,20.332691,19.268522,20.863081,17.48278,20.848568,21.690271,19.907574,0.0,19.385061,21.5707,20.39214,19.605835,17.88335,18.50315,19.317612,17.704725,18.653355,16.235275,20.214539,17.78454,19.158094,18.85422,19.19317,21.827114,22.72012,19.20367,21.37267,18.71203,21.064417,21.554605,22.210833,22.336658,21.768745,21.072475,0.0,0.0,0.0,0.0,0.0
107.61006,7.7202797,0.0,0.0,0.0,0.0,20.296007,18.41239,21.69975,23.000093,21.1932,18.897078,20.385347,19.081324,22.180908,20.7653,23.632929,23.015024,24.744743,23.161787,20.765299,24.09625,22.106472,21.11457,19.68588,20.268686,19.195656,20.62326,17.883163,20.64182,21.78619,19.811901,0.0,19.188831,21.461372,20.386171,19.559755,17.556551,18.029535,18.590834,17.434875,17.52959,15.608359,19.392664,16.845604,18.071108,17.711967,18.30431,20.614132,21.271074,17.923153,19.771225,17.492212,19.303226,19.38815,20.69801,20.64411,20.221691,19.424091,0.0,0.0,0.0,0.0,0.0
104.008835,7.5407925,0.0,0.0,0.0,0.0,20.009878,19.24627,21.423294,22.852064,21.068928,19.364088,21.008665,18.99207,21.738478,20.27866,23.243877,22.930359,24.734015,23.036385,20.26564,23.887413,21.709751,20.706272,19.514297,19.694487,18.87491,19.874233,17.784313,19.939697,21.306675,19.300663,0.0,18.683708,20.44695,19.864563,19.026884,16.947046,17.50932,17.632967,17.113907,16.270432,15.106057,18.609715,16.13884,17.312422,17.067839,17.691622,19.817038,20.049547,17.38322,18.342773,16.946493,18.1216,18.092813,19.360792,20.114107,19.214207,19.135233,0.0,0.0,0.0,0.0,0.0
100.856995,6.275,0.0,0.0,0.0,0.0,19.319801,20.200754,20.646696,22.049013,20.70604,20.200346,21.57807,18.975798,20.866362,19.588884,22.032677,22.743078,23.720613,22.373043,19.721104,23.17568,21.553621,20.038725,19.308449,19.184715,18.367876,18.795883,17.081469,18.86736,20.513649,18.209307,0.0,18.39632,19.044643,19.28215,17.860357,15.850944,16.898705,17.026346,16.77959,14.041512,15.299188,18.235422,16.08915,17.595915,16.835682,17.595327,19.155659,18.920778,17.457872,16.501572,17.140894,17.51224,17.814095,18.124247,20.166836,18.74538,19.686115,0.0,0.0,0.0,0.0,0.0
115.735664,6.2,0.0,0.0,0.0,0.0,18.538496,19.864443,19.386988,21.67529,20.096342,19.61096,20.65859,18.817207,20.243536,18.70535,21.439686,21.987185,22.692492,21.526197,19.046495,22.30665,21.037863,19.49585,18.832664,18.940573,17.936409,18.008818,16.406855,17.531256,19.68177,17.650469,0.0,16.888786,18.140669,18.033295,16.546684,15.120898,16.492474,16.571068,16.112162,13.396385,15.173391,17.026651,15.716084,17.070389,16.633442,17.960226,18.794048,18.569653,17.575947,16.699556,17.785631,17.098858,18.691935,18.241362,21.109037,17.854746,20.446955,0.0,0.0,0.0,0.0,0.0
116.01542,4.825,0.0,0.0,0.0,0.0,16.857088,17.953314,18.150307,19.459532,18.420918,17.601456,18.326748,17.106594,19.299772,16.648264,19.66197,20.134417,19.797127,19.207745,16.879263,20.368277,18.703083,17.623905,16.915754,17.151602,16.464737,16.103111,15.791516,16.371185,17.826273,16.111732,0.0,15.668178,15.932521,15.895643,15.599222,13.718551,14.991648,15.685388,14.880625,13.752125,14.517044,16.466513,15.9653225,17.061882,15.675877,16.890955,17.209402,17.504675,16.451855,17.056053,17.112444,16.962019,18.138412,17.390415,20.621155,18.077587,20.008743,0.0,0.0,0.0,0.0,0.0
128.32884,4.3125,0.0,0.0,0.0,0.0,15.552354,16.345076,17.171747,17.323366,16.700403,16.72117,16.526348,16.448065,18.73384,15.471014,18.48553,18.769003,17.759342,17.774292,15.894312,19.27714,17.845478,16.17135,15.78406,16.423075,15.800187,15.350271,14.929524,15.365392,16.442879,14.900624,0.0,15.4414015,14.808604,14.179823,14.946764,12.779032,14.191115,14.63928,13.612464,14.072785,14.462125,15.711544,15.663171,16.664948,14.057414,15.844942,15.893724,15.979331,15.691341,17.435028,16.022013,16.95713,17.790613,16.332266,19.50533,17.681648,19.005116,0.0,0.0,0.0,0.0,0.0
151.97092,4.1125,0.0,0.0,0.0,0.0,15.144045,15.746214,17.243921,16.854029,15.984623,16.889645,16.718002,16.806334,19.103231,15.563297,18.49183,18.375645,16.35703,17.33045,16.320452,18.804434,18.372072,16.27326,15.536256,16.515852,15.799211,16.09423,15.151652,15.767585,16.21529,14.809448,0.0,16.006565,15.00766,14.335779,15.178538,13.073432,13.774249,14.653258,13.296469,14.14947,14.340755,16.386208,15.912045,17.133894,14.162543,15.699761,15.594419,15.623569,15.637863,18.429945,16.13824,17.227533,18.048103,16.741909,19.437094,17.814827,18.352837,0.0,0.0,0.0,0.0,0.0
