0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
60.013844,1.8041958,0.0,0.0,0.0,0.0,15.866947,15.141473,15.565552,18.146172,15.580557,16.295923,16.69869,16.591946,16.758572,15.913169,18.608328,19.50479,18.809341,19.010077,18.48633,20.658276,20.872812,18.56069,19.311218,19.193674,18.64979,19.874208,17.657724,21.654787,23.318878,21.950819,0.0,23.05549,24.872396,26.69424,24.909575,22.516876,25.092787,24.832844,23.29836,25.811302,22.747452,27.777563,24.512486,26.921902,28.174257,28.310217,32.309208,31.199923,28.26891,29.887213,28.81464,30.354502,30.548841,28.965614,31.918468,30.146181,30.867573,0.0,0.0,0.0,0.0,0.0
90.54823,5.156177,0.0,0.0,0.0,0.0,15.6219845,15.048829,16.295841,17.63426,15.782276,16.14316,16.547466,16.338827,17.394596,16.48799,18.7681,20.289976,18.856457,19.075434,18.107145,20.89326,19.650257,17.637144,18.668058,18.837889,19.243435,20.327263,17.672155,21.283518,22.85126,21.87743,0.0,22.818228,24.306509,25.784609,24.493837,22.659391,24.98263,24.56171,23.27586,26.10579,23.15664,28.174753,24.895954,27.876738,27.48978,27.863325,31.639135,30.562328,27.606304,29.365097,28.799892,29.47393,30.027853,28.253963,31.295563,29.254852,29.796568,0.0,0.0,0.0,0.0,0.0
104.76842,7.0268064,0.0,0.0,0.0,0.0,15.391007,14.973558,16.661612,17.31611,15.983644,16.024263,16.419436,16.124237,17.665741,16.937819,18.950262,20.725203,19.012497,19.089369,17.966267,21.106089,19.315594,17.424063,18.651882,18.640419,19.408684,20.575142,17.694965,20.970419,22.649961,21.826946,0.0,22.688747,23.972239,25.125374,24.31003,22.541128,24.701864,24.30245,23.174013,26.164284,23.270548,28.172092,24.780699,28.205359,26.903412,27.527195,31.200197,30.219202,27.1555,28.986893,28.63851,28.820599,29.72521,27.912523,30.913576,28.683447,29.179415,0.0,0.0,0.0,0.0,0.0
107.61006,7.7202797,0.0,0.0,0.0,0.0,15.140576,14.877922,16.699654,17.08679,16.116207,15.896267,16.268595,15.913244,17.614805,17.208883,19.061943,20.808323,19.162779,19.003468,17.934464,21.207006,19.54178,17.660513,18.997585,18.513798,19.21856,20.584715,17.678915,20.654474,22.549936,21.716135,0.0,22.557596,23.731653,24.593073,24.195646,22.185072,24.239546,23.980925,22.94969,25.953123,23.109274,27.786507,24.264868,27.970665,26.334238,27.177956,30.809732,29.976343,26.784042,28.623205,28.276314,28.272959,29.472273,27.73965,30.599186,28.276585,28.804838,0.0,0.0,0.0,0.0,0.0
104.008835,7.5407925,0.0,0.0,0.0,0.0,14.837253,14.724182,16.446764,16.84136,16.111517,15.716206,16.048939,15.670924,17.28459,17.247417,19.010273,20.53719,19.192621,18.769312,17.882511,21.106253,20.001774,18.085573,19.44006,18.37056,18.74608,20.322851,17.576761,20.274664,22.386139,21.46176,0.0,22.31532,23.446815,24.064243,23.988182,21.6142,23.584726,23.522997,22.55976,25.438646,22.692919,27.034925,23.446613,27.235561,25.701344,26.691746,30.285084,29.639544,26.359472,28.144636,27.659128,27.70946,29.100397,27.533703,30.17907,27.878893,28.46156,0.0,0.0,0.0,0.0,0.0
100.856995,6.275,0.0,0.0,0.0,0.0,14.104609,14.257684,15.493815,16.024397,15.495711,15.288271,15.487064,15.190663,16.364481,16.451614,18.163488,19.4144,18.463404,17.973907,17.140884,20.237673,20.048903,18.17366,19.149622,17.917017,17.651503,18.989388,17.090769,19.364079,21.088978,20.383533,0.0,21.260984,22.373995,22.918497,22.885756,20.348318,22.024887,22.137108,21.2999,23.607204,21.435696,25.227613,21.812017,25.102104,24.328054,24.970457,28.380716,28.184792,25.016129,26.627213,25.882818,26.362656,27.44032,26.108908,28.485014,26.6885,27.137371,0.0,0.0,0.0,0.0,0.0
115.735664,6.2,0.0,0.0,0.0,0.0,12.700256,13.145189,14.127424,14.527497,13.981168,13.968291,14.091871,13.963738,14.851023,15.174014,16.559227,17.475645,17.110758,16.439472,16.036465,18.342478,18.683092,17.114176,17.985416,16.77537,16.482471,17.55977,15.978557,18.216114,19.811607,19.03935,0.0,19.69326,21.018456,21.308483,21.070347,19.253777,20.538897,20.764465,20.095968,21.972721,20.380285,23.282732,20.75841,23.24807,22.894901,23.348387,26.506413,26.365992,23.585505,24.98788,24.18517,25.098755,25.98645,24.716528,27.026907,25.477636,25.84243,0.0,0.0,0.0,0.0,0.0
116.01542,4.825,0.0,0.0,0.0,0.0,12.6657,12.914166,13.68483,13.971725,13.875247,13.70635,13.591765,13.742733,14.543042,14.664643,15.8386965,16.639193,16.221857,15.8821945,15.504235,17.296436,17.719254,16.468985,17.424856,16.25995,16.108654,16.713186,15.657104,17.353188,18.68894,17.76268,0.0,18.665773,19.639025,19.945942,19.633196,18.180973,19.502142,19.52082,19.075426,20.73049,19.410172,21.375557,19.719376,21.48833,21.450638,21.84851,24.066603,24.107283,22.135723,23.147497,22.327759,23.17958,23.976555,23.295406,24.743725,23.73228,23.69786,0.0,0.0,0.0,0.0,0.0
128.32884,4.3125,0.0,0.0,0.0,0.0,13.267306,13.226757,13.762542,13.754741,14.35784,14.101927,13.885323,14.234802,14.243908,14.392577,15.731535,15.920217,15.991063,15.914562,15.16887,17.171064,17.229788,16.149284,16.739773,15.7598715,15.859483,16.26561,15.899237,16.746166,17.97172,17.074003,0.0,17.87535,18.649433,18.861345,18.742277,17.612104,18.909657,18.618866,18.482157,19.493904,18.78931,20.125854,18.890953,20.187674,20.087532,20.61888,22.06177,22.453012,21.023987,21.907536,21.22215,21.89967,22.063948,21.826897,22.843004,22.178816,21.892595,0.0,0.0,0.0,0.0,0.0
151.97092,4.1125,0.0,0.0,0.0,0.0,13.616583,13.329411,13.763347,13.680291,14.521899,14.38216,14.174685,14.402352,13.954153,14.154124,15.526346,15.151599,15.635903,15.598308,14.906741,16.2726,16.624739,15.5135565,16.396935,15.545169,15.74429,15.91142,15.861389,16.086666,16.664295,16.582514,0.0,16.99469,17.406725,17.89257,17.294203,16.808838,17.759693,17.918642,17.782953,18.043333,17.739464,18.855663,18.424057,18.920912,18.893646,19.461935,20.133636,20.442625,19.782661,20.797934,20.203392,20.68401,20.37961,20.42778,20.968256,20.650217,20.24356,0.0,0.0,0.0,0.0,0.0
