type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,6,6,1,10335891,0,110,0,0,10.7226,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -4 3 -4 0 -6 4 -2 2 -3 0 -3 -1 -3 -1 1 1 0 0 1 -4 0 -4 1 -3 2 -5 2 -3 2 -7 -1 -8 3 -6 2 -7 0 -8 1 -8 0 -9 0 -10 1 -11 -1 -11 -1 -11 -1 0 0 -11 -3 -13 -1 -12 -3 -13 0 -12 -1 -13 -2 -13 -3 -15 -1 -15 -1 -13 1 -18 -2 -14 -1 -14 -2 -15 -1 -17 -3 -15 -2 -16 -3 -16 -2 -16 -2 -17 -2 -17 -2 -18 -3 -18 -3 -16 -3 -16 -4 -15 -2 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,10376203,0,110,0,0,10.7623,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -4 -4 -5 -7 -5 -5 -3 -3 -2 -2 -1 -2 -1 -1 -2 1 -1 -1 1 1 1 -2 4 2 -1 1 5 -1 1 0 6 0 6 1 4 2 7 1 8 -1 7 1 9 0 9 2 9 -3 10 -1 11 0 0 2 10 -1 12 1 13 2 13 -1 11 1 12 0 13 -1 14 0 14 1 16 2 15 -1 16 1 13 2 15 2 15 1 14 -1 17 0 16 2 16 3 17 2 15 2 16 2 14 3 16 2 17 3 13 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-96,2,6,1,10414878,0,110,0,0,10.8011,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 4 -6 4 -3 2 -2 3 -4 2 -2 3 -3 0 -1 -1 -1 -1 -1 -2 3 -2 1 -2 2 -1 2 -2 5 -2 6 -3 4 0 5 -3 5 -3 7 -1 8 0 9 -1 9 -2 11 -1 10 -2 11 0 0 0 11 -2 12 -2 11 -1 12 -1 12 -3 14 -2 14 -2 13 -2 14 -2 16 -1 15 -4 14 -2 12 -3 15 -3 16 -4 16 -4 18 -3 14 -3 16 -4 14 -4 15 -3 16 -3 13 -4 15 -5 16 -3 15 -5 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-78,11,1,0,1,1,1,1,0,0,0,-96,2,6,1,10455992,0,110,0,0,10.8424,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -3 -6 -1 -5 -3 -4 -2 -4 0 -3 -3 -2 -1 -1 -2 0 3 2 -2 0 0 2 1 3 3 0 3 3 3 4 5 3 5 3 5 3 5 3 7 2 7 3 8 3 8 5 8 2 11 3 10 0 0 2 11 2 12 3 14 3 12 1 12 2 11 2 14 3 14 4 12 5 10 2 15 3 15 4 14 4 14 2 15 1 17 3 18 4 15 4 16 4 15 3 17 0 15 1 14 4 16 3 13 5 16 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-96,6,6,1,10491828,0,110,0,0,10.8783,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -2 -6 0 -3 1 -5 1 -3 -2 -4 0 -4 -1 -1 -1 -1 -1 -1 -1 0 1 2 0 2 0 4 0 3 -1 4 2 5 2 4 2 5 4 6 3 5 5 8 4 6 5 7 6 9 7 8 7 0 0 8 6 10 8 9 9 9 8 8 9 9 7 8 11 8 9 11 9 10 8 11 9 8 9 10 9 9 11 11 11 11 11 11 11 11 11 11 10 12 10 11 11 10 11 12 11 12 10 13 10 12 10 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-96,1,6,1,10498111,0,110,0,0,10.9066,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 5 -2 4 -5 3 -2 3 -3 3 -1 3 -1 1 -2 -1 -3 1 -1 -1 0 -1 3 -3 2 -3 2 -2 4 -2 4 -3 4 -2 6 -3 5 -2 7 0 7 -2 9 -3 9 -1 9 -1 11 -2 11 -2 0 0 12 -1 12 0 12 -2 13 -2 12 -3 13 -1 14 -1 14 -2 14 -2 13 -2 14 -4 14 -1 14 0 16 -1 14 -1 17 0 15 -1 16 -3 16 -1 16 -1 17 -1 14 0 14 -2 16 -3 16 0 16 -2 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,5,6,1,10565105,0,110,0,0,10.9515,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -6 5 -2 6 -3 2 -2 1 -2 1 0 1 -1 0 -1 -1 -1 0 0 -1 -1 -3 -1 -5 0 -4 0 -4 1 -7 -1 -8 0 -7 -1 -8 -1 -10 -1 -9 -2 -10 -1 -11 -3 -10 -2 -11 -3 -12 -4 0 0 -12 -3 -14 -2 -12 -3 -13 -3 -13 -4 -15 -3 -12 -2 -14 -4 -13 -4 -15 -5 -16 -3 -14 -5 -15 -3 -16 -4 -17 -2 -17 -2 -18 -3 -17 -1 -18 -1 -16 0 -17 -1 -16 -4 -16 -2 -16 0 -17 -2 -16 -1 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,1,1,1,1,1,0,0,0,-96,1,6,1,10569545,0,110,0,0,10.986,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 5 0 4 3 4 1 4 0 3 -1 2 -1 1 0 1 -2 0 0 -2 -2 -3 -1 -4 0 -6 0 -3 0 -5 0 -6 2 -5 1 -6 2 -6 -1 -10 3 -8 0 -10 2 -9 4 -10 4 -11 3 -11 0 0 5 -11 4 -14 4 -13 4 -13 4 -12 4 -13 5 -13 4 -13 5 -13 6 -15 4 -15 6 -13 5 -13 5 -14 6 -17 5 -16 7 -18 5 -15 6 -15 3 -16 7 -17 4 -16 6 -16 5 -16 6 -15 4 -17 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,1,1,1,1,1,0,0,0,-96,6,6,1,10664511,0,110,0,0,11.0512,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 5 -2 4 -1 4 -2 4 -1 3 -3 1 0 1 -3 -1 1 -3 2 -2 0 -2 1 -2 1 -4 2 -3 3 -3 4 -3 5 -4 4 -5 5 -5 5 -5 7 -5 9 -4 8 -3 8 -2 10 -4 11 -5 0 0 9 -4 10 -4 11 -5 11 -5 12 -3 12 -3 13 -5 13 -5 17 -6 12 -3 13 -5 14 -4 14 -6 14 -4 15 -8 16 -7 15 -7 15 -7 17 -5 16 -6 16 -5 14 -6 15 -6 15 -7 16 -5 14 -7 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-96,6,6,1,10670764,0,110,0,0,11.0813,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 6 0 4 1 5 1 1 0 2 0 3 1 3 0 1 0 0 0 1 2 -1 0 -2 3 -4 0 -6 0 -4 2 -5 3 -5 2 -6 3 -7 4 -8 3 -6 5 -9 4 -8 5 -9 6 -9 7 -8 0 0 8 -9 8 -10 9 -10 7 -10 8 -11 8 -11 9 -11 7 -12 10 -13 10 -12 11 -12 10 -12 9 -12 11 -11 9 -12 11 -13 11 -13 10 -12 9 -13 8 -13 12 -12 11 -13 12 -13 11 -14 12 -14 10 -12 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-96,6,6,1,10676666,0,110,0,0,11.1192,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 3 5 4 3 1 0 2 4 1 2 2 0 0 2 1 -1 1 0 -2 -1 -2 -1 -1 -2 -3 -2 -4 -3 -5 -3 -6 0 -7 -3 -5 -3 -8 -4 -8 -4 -8 -4 -9 -2 -7 -2 -10 -3 -12 -3 -12 0 0 -2 -12 -4 -16 -3 -14 -3 -12 -3 -12 -3 -15 -2 -16 -6 -15 -4 -16 -4 -15 -4 -16 -3 -15 -2 -17 -4 -17 -2 -17 -5 -17 -3 -16 -4 -16 -3 -16 -4 -16 -6 -17 -2 -16 -4 -15 -6 -18 -4 -16 -4 -17 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-81,11,1,3,1,1,1,1,0,0,0,-96,2,6,1,10687834,0,110,0,0,11.1604,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 -3 4 -3 2 -2 3 -2 2 -2 2 -2 1 0 2 0 1 -1 -2 1 -3 -1 -3 0 -5 -3 -5 -2 -4 0 -6 -2 -6 -3 -5 -2 -9 -3 -7 -3 -9 -4 -8 -5 -9 -3 -9 -3 -9 -7 -10 -8 0 0 -10 -5 -10 -7 -10 -7 -10 -7 -11 -9 -11 -9 -11 -8 -10 -7 -13 -9 -12 -8 -13 -10 -13 -8 -13 -10 -13 -9 -13 -8 -13 -10 -14 -10 -14 -10 -14 -10 -14 -10 -13 -11 -13 -10 -13 -10 -15 -9 -14 -9 -14 -8 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,1,1,1,1,1,0,0,0,-96,6,6,1,10857123,0,110,0,0,11.2439,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -4 -4 -5 -3 -5 -2 -2 -3 -1 -1 -2 -2 -2 -1 -3 -1 -2 0 0 0 2 1 2 -1 3 -1 2 -1 3 -1 4 -1 4 -1 6 -1 6 -1 8 -2 7 -3 8 -3 7 -4 10 -3 10 -4 10 0 0 -4 11 -5 12 -5 9 -4 13 -5 11 -5 13 -5 13 -4 12 -6 12 -7 13 -8 15 -7 13 -6 13 -6 14 -6 14 -6 15 -7 17 -6 14 -6 15 -5 15 -6 15 -7 13 -8 16 -7 16 -5 15 -5 16 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,6,6,1,10867270,0,110,0,0,11.2749,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -6 1 -5 -1 -4 -1 -3 -1 -3 0 -2 -1 -2 -1 -1 -2 -1 -2 0 -1 0 -1 1 -3 1 -5 2 -4 4 -6 3 -4 3 -6 5 -7 4 -7 5 -7 2 -8 4 -9 2 -10 3 -10 3 -11 4 0 0 -9 5 -11 6 -11 4 -11 3 -11 4 -13 5 -13 5 -12 5 -13 4 -15 6 -14 5 -15 5 -13 6 -15 4 -15 7 -13 6 -15 6 -16 6 -14 7 -17 7 -17 6 -16 6 -15 7 -15 7 -18 6 -15 8 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,6,6,1,10872146,0,110,0,0,11.313,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 5 2 4 1 3 0 4 -1 1 1 3 1 2 0 -2 1 -1 -2 -3 2 -3 2 -2 3 -4 3 -5 2 -3 4 -6 3 -5 5 -5 4 -5 5 -7 6 -6 7 -7 8 -7 8 -7 8 -7 9 -6 0 0 9 -7 9 -7 9 -7 9 -7 8 -8 10 -6 11 -6 12 -9 11 -7 13 -8 14 -9 13 -8 11 -10 11 -9 13 -11 12 -7 14 -11 12 -9 13 -11 13 -10 14 -9 13 -11 12 -9 12 -11 13 -10 12 -10 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,2,6,1,10876420,0,110,0,0,11.3509,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 3 -4 3 -2 4 -1 1 -2 4 0 1 0 0 0 0 -2 0 0 1 1 0 1 -1 2 0 2 -1 4 1 5 0 3 1 4 0 6 -1 5 -1 6 1 7 0 7 1 10 2 10 2 9 2 0 0 9 1 12 2 10 3 11 1 10 1 12 2 11 4 11 2 11 4 13 3 12 2 12 3 11 4 14 3 12 4 14 5 13 4 13 4 14 4 13 4 14 4 12 6 12 4 12 5 14 4 12 3 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,2,6,1,11006294,0,110,0,0,11.3926,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 5 1 3 1 4 2 4 1 2 -2 3 -1 1 -3 1 -1 -2 -2 -4 0 -2 0 -4 -2 -2 0 -4 0 -7 -1 -7 1 -6 -1 -7 3 -8 0 -7 2 -11 1 -10 2 -9 2 -12 3 -8 4 -11 0 0 6 -11 3 -14 5 -12 5 -12 5 -11 5 -11 3 -14 7 -12 7 -7 4 -12 2 -15 6 -13 4 -16 6 -17 5 -15 7 -16 8 -15 4 -17 6 -16 4 -17 3 -15 5 -14 5 -15 4 -16 5 -16 3 -16 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,1,1,1,1,1,0,0,0,-96,1,6,1,11022780,0,110,0,0,11.4238,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 4 -5 0 -4 0 -3 0 -4 0 -1 0 -2 0 -3 0 2 -1 0 2 2 1 2 -2 3 2 4 4 4 1 6 1 6 3 5 2 7 1 7 2 5 3 6 4 8 4 8 9 8 7 10 8 0 0 9 8 10 8 10 7 9 7 10 7 10 7 11 7 11 9 13 8 10 7 12 10 8 9 12 9 12 9 11 10 13 9 11 10 13 10 13 9 13 11 14 10 12 11 12 10 13 8 12 9 13 8 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,5,6,1,11086735,0,110,0,0,11.4732,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 5 2 4 0 3 -1 4 0 6 0 1 -1 2 0 0 -2 -1 0 -1 1 -2 0 -3 1 -4 -1 -6 1 -3 4 -5 1 -7 3 -7 3 -7 3 -7 6 -7 6 -8 5 -8 7 -8 7 -7 8 -8 0 0 8 -7 8 -10 8 -8 10 -11 10 -7 10 -9 10 -9 10 -10 11 -12 13 -11 12 -11 11 -11 11 -11 12 -10 11 -12 12 -11 12 -12 10 -12 11 -11 12 -11 11 -13 13 -12 11 -10 11 -11 11 -11 11 -11 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,6,6,1,11097121,0,110,0,0,11.5041,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -4 -5 -3 -4 -2 -6 -3 -2 -1 -2 -1 -1 0 -1 -1 2 0 2 3 1 1 1 2 1 1 3 5 1 3 2 6 2 6 3 6 2 8 1 8 2 9 2 8 1 7 0 11 0 11 2 11 0 0 0 9 1 12 0 13 2 13 0 13 0 13 0 13 0 13 0 11 -1 12 0 16 -2 15 0 16 1 14 -1 15 0 15 0 17 -1 17 -1 16 0 16 1 15 -1 15 -1 17 0 17 1 17 0 15 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,11101038,0,110,0,0,11.5397,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -5 -3 -5 -3 -4 -4 -2 -1 -3 -1 -3 -1 -1 -3 -2 1 2 -2 1 -1 2 -1 1 0 2 -1 4 1 2 -2 6 -1 5 2 8 -1 9 -1 8 -1 9 -2 8 0 10 -2 9 -3 12 -2 9 0 0 -4 13 -3 13 -3 12 -5 13 -3 13 -4 15 -5 13 -2 15 -4 13 -5 13 -4 16 -7 14 -5 16 -3 17 -3 18 -4 16 -4 17 -5 16 -4 18 -4 13 -4 17 -4 17 -1 16 -4 18 -5 17 -4 16 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,
