type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-95,1,6,1,10254537,0,110,0,0,10.6401,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -2 -2 -1 -2 -2 -2 -1 -1 0 -3 2 -5 3 -5 1 -5 2 -5 4 -7 4 -5 4 -4 4 -5 3 -4 4 -8 6 -7 7 -6 5 -8 6 -9 8 -10 4 -11 4 -10 6 -10 6 -11 5 -13 7 0 0 -13 4 -12 6 -10 5 -15 7 -13 2 -14 4 -12 2 -15 2 -16 3 -17 3 -16 6 -15 5 -16 4 -16 2 -16 6 -15 1 -18 0 -19 7 -18 3 -18 3 -18 3 -17 3 -19 0 -19 5 -18 0 -19 5 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-81,11,1,3,1,1,1,1,0,0,0,-95,1,6,1,10257839,0,110,0,0,10.6729,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 2 1 5 2 2 3 2 0 2 2 3 2 4 -1 0 2 -1 5 0 5 3 6 0 5 0 9 1 7 2 8 3 9 3 8 2 8 0 9 2 9 1 12 2 10 3 11 2 12 2 13 2 0 0 9 4 12 3 14 5 14 6 11 5 13 3 12 5 12 5 15 2 14 3 14 5 13 6 15 3 16 4 18 4 13 2 15 5 15 6 14 2 14 4 16 6 13 4 13 6 17 3 16 5 15 5 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,2,1,1,1,1,0,0,0,-95,1,6,1,10334672,0,110,0,0,10.7205,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 0 2 2 0 -2 1 -2 2 1 0 -2 0 -1 0 -4 2 -2 1 -5 3 -5 2 -7 1 -5 3 -7 2 -4 3 -7 2 -8 2 -7 3 -7 1 -5 3 -10 2 -6 4 -9 5 -13 5 -11 5 -12 0 0 4 -9 7 -10 7 -13 6 -10 6 -9 9 -11 8 -12 7 -10 9 -9 4 -10 6 -11 6 -12 8 -12 8 -12 11 -13 8 -15 6 -13 8 -13 7 -11 5 -14 9 -11 7 -13 7 -12 7 -13 10 -13 9 -14 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,4,1,1,1,1,0,0,0,-95,1,6,1,10378794,0,110,0,0,10.7645,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 3 2 1 1 3 2 -1 1 0 3 0 1 0 2 -1 4 -1 3 -2 5 -2 5 -1 4 -1 5 -2 5 -2 6 -2 9 -1 8 -2 9 -3 9 0 7 -1 9 -2 11 -1 12 -1 10 -1 12 -1 0 0 12 2 12 1 12 2 14 1 12 1 13 0 14 2 13 0 15 2 16 1 14 0 15 1 15 0 16 2 17 2 16 1 17 2 16 2 16 1 16 1 16 3 16 3 14 2 17 0 17 2 15 1 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-95,1,6,1,10390635,0,110,0,0,10.7919,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -2 -2 -3 0 -2 -3 -2 -2 -2 -3 -2 -3 -1 -6 0 -3 0 -5 2 -5 -1 -6 1 -6 1 -4 2 -7 0 -7 1 -9 2 -9 -1 -8 -2 -9 0 -12 -1 -10 0 -11 0 -13 0 -11 -1 -12 -3 0 0 -13 -3 -14 -1 -15 -1 -14 -1 -12 -3 -15 -2 -15 -3 -18 -1 -14 -3 -15 -2 -15 -2 -15 0 -17 -1 -17 -2 -18 -2 -18 -1 -17 -3 -18 0 -19 -1 -17 -2 -18 -3 -19 -2 -17 -3 -18 -2 -18 -2 -18 -2 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,1,1,1,1,1,0,0,0,-95,6,6,1,10464904,0,110,0,0,10.8512,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 1 -2 2 4 2 3 -1 -1 4 1 4 -1 3 1 3 4 2 3 3 4 1 4 1 7 1 7 2 7 1 6 -1 5 2 9 1 6 0 10 0 10 0 8 4 11 2 13 3 11 3 10 5 0 0 12 4 12 5 13 3 13 3 15 3 13 7 15 1 15 6 13 0 20 4 12 2 12 5 15 5 14 2 19 3 15 4 17 4 14 2 18 1 15 1 16 4 16 0 16 5 17 2 16 4 17 4 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-78,11,1,0,1,1,1,1,0,0,0,-95,1,6,1,10476548,0,110,0,0,10.8778,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 -1 1 1 3 1 3 -4 2 -2 3 -3 2 -1 2 -1 1 -2 0 -5 6 -4 2 -7 4 -2 4 -6 3 -6 6 -6 2 -6 5 -9 3 -7 7 -7 4 -10 6 -6 8 -8 9 -6 13 -11 6 -10 0 0 10 -11 12 -7 10 -11 10 -10 11 -8 14 -9 14 -9 11 -9 11 -7 13 -9 14 -9 13 -7 14 -7 12 -9 14 -9 15 -6 15 -9 17 -8 17 -10 16 -5 15 -8 15 -3 19 -6 14 -8 17 -5 15 -8 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-95,6,6,1,10552865,0,110,0,0,10.9389,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 2 1 1 2 2 3 -1 2 1 3 1 1 1 2 2 4 0 4 -2 5 -2 5 -3 4 -2 5 -4 5 -1 6 -4 7 -2 9 -2 7 -4 8 -3 7 -2 11 -3 12 -1 11 -3 11 -1 10 0 0 0 13 -1 14 0 12 -2 14 -1 11 -1 14 -1 14 0 14 0 14 1 14 1 15 -1 14 0 15 0 15 0 17 0 15 -1 18 0 16 -1 16 1 17 0 18 0 15 1 18 3 17 0 17 1 18 -2 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,2,1,1,1,1,0,0,0,-95,6,6,1,10580075,0,110,0,0,10.9667,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -2 -2 -4 -2 -3 -2 -3 -2 0 -4 -2 -3 -2 -4 0 -5 -1 -4 0 -5 1 -5 0 -6 1 -5 1 -6 -1 -9 1 -7 0 -7 -1 -8 0 -8 0 -8 0 -10 -1 -9 1 -10 0 -12 -1 -13 -1 0 0 -11 -2 -12 -3 -13 -2 -13 -1 -12 -2 -13 -1 -12 -3 -13 -3 -14 -1 -14 -2 -15 -2 -13 -3 -15 -4 -15 -4 -14 -4 -16 -3 -16 -4 -16 -1 -16 -5 -14 -2 -17 -4 -16 -6 -16 -3 -16 -3 -16 -3 -16 -2 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-95,1,6,1,10637596,0,110,0,0,11.0233,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 -4 0 -4 -2 -3 2 -3 1 -4 0 -6 1 -1 2 -5 2 -2 3 -7 3 -4 0 -5 2 -6 3 -4 2 -8 1 -9 1 -6 2 -9 2 -11 -1 -8 -1 -11 3 -9 0 -12 2 -8 2 -12 4 -12 0 0 3 -12 7 -13 6 -14 3 -15 5 -14 2 -12 4 -14 6 -15 5 -12 7 -15 6 -14 7 -13 6 -15 7 -13 8 -17 6 -15 8 -13 9 -18 7 -16 5 -14 9 -15 11 -16 9 -16 8 -17 8 -17 7 -14 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
